salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
0014N00001ncWZ7QAM,Away Resorts,3,23760.36,6866.74
0016100001XpU3mAAF,Retail Insights,2,23635.37,8036.03
001Vp000009kEEGIA2,Maidstone and Tunbridge Wells NHS Trust,2,23611.28,6792.58
001Vp00000KEuWfIAL,shawgibbs.com,3,23575.25,4115.46
0018Y00002fsRWuQAM,Cumberland Building Society,8,23536.53,5676.19
001Vp00000FG7WPIA1,SIMPLIFY GROUP LIMITED,3,23130.08,5243.88
0018Y00002qRx4pQAC,Bristow and Sutor,3,23042.51,9195.63
0013f000004QzhXAAS,Nest Pensions,8,23041.5,3451.03
0018Y0000347JbKQAU,The Associated Board of the Royal Schools of Music,2,22968.1,11427.35
001Vp000004uaF1IAI,Peabody,14,22811.07,12274.32
0018Y00002o14auQAA,NHS Arden and GEM CSU,12,22396.14,8610.13
0014N00001netJ4QAI,Flagstone,5,22392.22,5184.54
0014N000025gtgdQAA,Retail-Insights EMEA,10,22275.7,10398.52
001Vp000007ILqBIAW,A-Safe Group Ltd,2,22157.96,9381.39
0018Y000036dcdOQAQ,GB News,1,22073.17,8771.33
0018Y0000348BrAQAU,PetroStrat Ltd,4,21781.51,9939.74
0018Y00002m54CpQAI,ClubSpark,7,21475.79,10373.56
0018Y000031Cm3GQAS,Enable,5,21238.42,5057.5
0018Y00002qRfKbQAK,Brown & Brown Europe,10,21216.47,305.27
0016100001Vd1VKAAZ,Sports Direct,9,20972.44,6285.54
0016100001ODqdBAAT,Sodexo,8,20724.56,8433.74
0018Y000036eAtAQAU,Hurst Point Group,4,20670.15,4107.6
0018Y00002fsSvsQAE,Blend360,18,20634.48,2873.73
0016100001G26HUAAZ,Aclara Technologies,1,20529.38,4810.11
001Vp00000XIhQ8IAL,lawfrontgroup.com,3,20437.06,6950.9
001Vp0000096DqJIAU,Worknest,1,20322.62,5872.65
0016100001WoQflAAF,AlixPartners LLP,55,20194.54,13576.75
0016100001fQSRXAA4,El Al Israel Airlines,2,20178.46,5466.5
001Vp0000062jgqIAA,NHS CFA,3,20083.61,3539.25
001Vp000005mlwQIAQ,International Schools Partnership,3,19672.67,5709.68
0016100001WoYwHAAV,Softcat PLC,9,19543.95,7141.51
0018Y00002vRMF7QAO,Metropolitan Police Department,1,19440.66,2770.4
001Vp0000033dg1IAA,West of England CA,6,19387.33,4771.28
0013f000008oynzAAA,Amplius,7,19078.65,5579.94
0013f00000Aid8FAAR,Office of Rail & Road UK,1,19073.06,14280.67
0018Y00002m547lQAA,Chambers and Partners,6,19035.38,4825.81
0018Y00002sflrJQAQ,SCGA - Groupe Atlantic,1,18863.24,4140.5
0013f000008oxLsAAI,JMAN Group,9,18856.66,4804.98
0016100001WnTl5AAF,NHS Wales Informatics Service,2,18805.77,9303.09
001Vp00000MWm6UIAT,Somerset Bridge Shared Services Limited,7,18790.88,7813.23
001Vp0000033YgVIAU,ZAHA HADID LIMITED,4,18722.46,384.62
0018Y00002vPkc7QAC,British Sugar,3,18717.92,9254.42
0018Y00002frEN4QAM,Martin,5,18406.55,3971.58
001Vp0000095nr2IAA,MAXIMUS UK SERVICES LIMITED,18,18377.75,10289.63
001Vp000008RJwpIAG,Un:Hurd,1,18155.83,9957.58
001Vp000003fLgSIAU,Newton Consulting,7,17935.0,8319.41
001Vp000007qo4tIAA,University Hospital North Midlands,5,17905.26,122.18
0014N00001nfkCZQAY,Mattioli Woods,9,17755.45,3987.37
001Vp00000Bt3QWIAZ,Save the Children,10,17664.0,0.0
0014N00001tNbA2QAK,PZ Cussons,12,17652.12,2076.39
0018Y000036f0bzQAA,Transparity Solutions Limited,12,17576.72,4375.43
0018Y00002kw0GEQAY,MHR,5,17478.86,4373.96
001Vp00000MgTybIAF,BRISTAN GROUP LIMITED,3,17474.51,2119.32
001Vp00000GqC8kIAF,eastmidlandsrailway.co.uk,3,17325.67,13241.95
0016100001H6kExAAJ,Portsmouth Water,3,17310.43,7785.25
0018Y00002sdTVAQA2,Manuka AI Limited (HQ),8,17238.81,4810.98
0016100000ZcoocAAB,QueryClick,1,17210.71,2590.51
0013f00000644QBAAY,Bristol City Council,2,17002.2,3971.91
0014N000020rtdYQAQ,Qualitest,1,16875.18,8354.69
0016100001H6gEcAAJ,Driver & Vehicle Standards Agency (DVSA),7,16777.42,8749.39
001Vp00000MMZwxIAH,Kortext,4,16457.78,7682.65
001Vp00000EyyhGIAR,PULSANT INTERMEDIATE LIMITED,1,16426.58,2047.35
00161000016xkv5AAA,National Grid,15,16327.68,8574.25
